algorithm,date,iteration,seed,size
ea1p1,20210114095015_306,24336,16106142152587240,1000
ea1p1,20210114095015_307,41045,16106142152139120,2000
ea1p1,20210114095015_321,17871,16106142152796928,1000
ea1p1,20210114095015_462,35816,16106142153080890,2000
ea1p1,20210114095015_464,18466,16106142153584950,1000
ea1p1,20210114095015_499,34347,16106142153551740,2000
ea1p1,20210114095015_523,30399,16106142153877860,2000
ea1p1,20210114095015_583,39201,16106142154978400,2000
ea1p1,20210114095015_592,26729,16106142155341050,1000
ea1p1,20210114095015_621,17598,16106142155837122,1000
ea1p1,20210114095015_903,34837,16106142158101490,2000
ea1p1,20210114095015_926,38558,16106142158155170,2000
ea1p1,20210114095016_014,16392,16106142159036592,1000
ea1p1,20210114095016_055,31956,16106142159085810,2000
ea1p1,20210114095016_168,17175,16106142161258690,1000
ea1p1,20210114095016_17,30858,16106142160984700,2000
ea1p1,20210114095016_217,15767,16106142161714940,1000
ea1p1,20210114095016_41,19214,16106142161848270,1000
ea1p1,20210114095016_504,23515,16106142164006190,1000
ea1p1,20210114095016_694,37509,16106142165606110,2000
ea1p1,20210114095016_86,16655,16106142168075390,1000
ea1p1,20210114095016_962,32256,16106142168614970,2000
ea1p1,20210114095017_011,27943,16106142169016140,2000
ea1p1,20210114095017_056,30957,16106142169289580,2000
ea1p1,20210114095017_073,39308,16106142169170390,2000
ea1p1,20210114095017_171,34745,16106142169830502,2000
ea1p1,20210114095017_231,20071,16106142171792272,1000
ea1p1,20210114095017_294,40168,16106142171890390,2000
ea1p1,20210114095017_383,47410,16106142172514948,2000
ea1p1,20210114095017_47,13752,16106142173612650,1000
ea1p1,20210114095017_549,13854,16106142175038440,1000
ea1p1,20210114095017_612,22614,16106142175052878,1000
ea1p1,20210114095017_648,15186,16106142175465470,1000
ea1p1,20210114095017_954,34607,16106142177307060,2000
ea1p1,20210114095017_99,17315,16106142179354630,1000
ea1p1,20210114095018_067,19568,16106142180109380,1000
ea1p1,20210114095018_071,12483,16106142180331330,1000
ea1p1,20210114095018_118,16474,16106142180586210,1000
ea1p1,20210114095018_155,11076,16106142181187570,1000
ea1p1,20210114095018_18,15110,16106142181363922,1000
ea1p1,20210114095018_35,35407,16106142181815140,2000
ea1p1,20210114095018_396,17333,16106142183486960,1000
ea1p1,20210114095018_426,27327,16106142183513570,1000
ea1p1,20210114095018_469,18948,16106142184271960,1000
ea1p1,20210114095018_627,34235,16106142184535590,2000
ea1p1,20210114095018_701,28224,16106142185764750,2000
ea1p1,20210114095018_745,30798,16106142186284730,2000
ea1p1,20210114095018_761,15110,16106142187032600,1000
ea1p1,20210114095018_874,35134,16106142187622970,2000
ea1p1,20210114095019_118,24840,16106142190168130,1000
ea1p1,20210114095019_145,60180,16106142187883710,2000
ea1p1,20210114095019_166,30068,16106142190285980,2000
ea1p1,20210114095019_392,21418,16106142192581560,1000
ea1p1,20210114095019_524,42834,16106142193128250,2000
ea1p1,20210114095019_556,13158,16106142195245800,1000
ea1p1,20210114095019_605,35566,16106142195194300,2000
ea1p1,20210114095019_618,12950,16106142195862802,1000
ea1p1,20210114095019_656,14734,16106142196187770,1000
ea1p1,20210114095019_803,20979,16106142197528890,1000
ea1p1,20210114095019_822,32144,16106142197447988,2000
ea1p1,20210114095020_017,18094,16106142199212090,1000
ea1p1,20210114095020_051,14623,16106142200238660,1000
ea1p1,20210114095020_113,14111,16106142200819680,1000
ea1p1,20210114095020_148,40610,16106142200646060,2000
ea1p1,20210114095020_277,37378,16106142201442080,2000
ea1p1,20210114095020_283,28564,16106142202299300,2000
ea1p1,20210114095020_325,20361,16106142202837770,1000
ea1p1,20210114095020_334,18936,16106142202970120,1000
ea1p1,20210114095020_386,30076,16106142203263760,2000
ea1p1,20210114095020_403,31058,16106142203352612,2000
ea1p1,20210114095020_479,32749,16106142203414270,2000
ea1p1,20210114095020_491,16898,16106142203869410,1000
ea1p1,20210114095020_546,16347,16106142205160400,1000
ea1p1,20210114095020_592,49822,16106142204918138,2000
ea1p1,20210114095020_623,33459,16106142205576360,2000
ea1p1,20210114095020_727,39647,16106142205831810,2000
ea1p1,20210114095020_728,33326,16106142205925660,2000
ea1p1,20210114095020_731,34781,16106142205959042,2000
ea1p1,20210114095020_79,31108,16106142207321702,2000
ea1p1,20210114095020_8,33904,16106142207383810,2000
ea1p1,20210114095020_806,12482,16106142207837990,1000
ea1p1,20210114095020_933,41453,16106142208010590,2000
ea1p1,20210114095020_967,31917,16106142208549850,2000
ea1p1,20210114095021_001,20551,16106142209676490,1000
ea1p1,20210114095021_184,41778,16106142210725880,2000
ea1p1,20210114095021_219,41738,16106142211503140,2000
ea1p1,20210114095021_374,11358,16106142213556500,1000
ea1p1,20210114095021_378,21354,16106142213414660,1000
ea1p1,20210114095021_397,31582,16106142213437600,2000
ea1p1,20210114095021_42,26907,16106142213753640,2000
ea1p1,20210114095021_523,36301,16106142214201340,2000
ea1p1,20210114095021_533,34395,16106142214327380,2000
