R,algorithm,date,iteration,seed,size
1049760000,RLSSDstarstar,20210112160433_74,67502,16104638476426302,36
1049760000,RLSSDstarstar,20210112160840_236,57511,16104640974300460,36
49787136,RLSSDstarstar,20210112160953_08,17064,16104641896724700,24
1049760000,RLSSDstarstar,20210112161350_32,41692,16104644124862608,36
9475854336,RLSSDstarstar,20210112161525_616,216999,16104643754724800,48
1049760000,RLSSDstarstar,20210112161559_732,86331,16104645256170330,36
9475854336,RLSSDstarstar,20210112161714_67,113397,16104645597333510,48
1049760000,RLSSDstarstar,20210112161731_811,80020,16104646215116320,36
49787136,RLSSDstarstar,20210112161747_212,8873,16104646654253060,24
1049760000,RLSSDstarstar,20210112161805_957,90495,16104646518123670,36
1049760000,RLSSDstarstar,20210112161830_654,54989,16104646897678830,36
49787136,RLSSDstarstar,20210112161835_055,10803,16104647131073130,24
9475854336,RLSSDstarstar,20210112161848_974,177369,16104646132923018,48
49787136,RLSSDstarstar,20210112161918_33,9770,16104647564309298,24
1049760000,RLSSDstarstar,20210112162100_398,57473,16104648340711328,36
1049760000,RLSSDstarstar,20210112162123_92,51000,16104648613732500,36
49787136,RLSSDstarstar,20210112162359_477,24686,16104650344177660,24
9475854336,RLSSDstarstar,20210112162437_377,252187,16104649040612882,48
9475854336,RLSSDstarstar,20210112162438_034,160714,16104649678964450,48
1049760000,RLSSDstarstar,20210112162445_059,29171,16104650773778680,36
49787136,RLSSDstarstar,20210112162510_615,11036,16104651093043448,24
9475854336,RLSSDstarstar,20210112162547_78,225608,16104650331154130,48
1049760000,RLSSDstarstar,20210112162557_261,44467,16104651464131930,36
49787136,RLSSDstarstar,20210112162631_573,12700,16104651901048760,24
9475854336,RLSSDstarstar,20210112162725_259,139497,16104651801234920,48
9475854336,RLSSDstarstar,20210112162745_617,215412,16104651680437050,48
49787136,RLSSDstarstar,20210112162800_848,10188,16104652795368050,24
49787136,RLSSDstarstar,20210112162805_661,30740,16104652820186680,24
49787136,RLSSDstarstar,20210112162807_263,13500,16104652856623180,24
49787136,RLSSDstarstar,20210112162809_222,16597,16104652872645208,24
49787136,RLSSDstarstar,20210112162810_491,9965,16104652892535030,24
49787136,RLSSDstarstar,20210112162820_115,13670,16104652985242550,24
9475854336,RLSSDstarstar,20210112162833_803,114599,16104652664595100,48
49787136,RLSSDstarstar,20210112162855_521,18207,16104653331812090,24
49787136,RLSSDstarstar,20210112162906_206,8980,16104653450531480,24
9475854336,RLSSDstarstar,20210112162922_669,139867,16104653040992930,48
9475854336,RLSSDstarstar,20210112163012_685,164888,16104653437734220,48
1049760000,RLSSDstarstar,20210112163102_536,66583,16104654459392170,36
9475854336,RLSSDstarstar,20210112163416_086,253762,16104655509341410,48
1049760000,RLSSDstarstar,20210112163417_799,48620,16104656458818870,36
49787136,RLSSDstarstar,20210112163525_047,16605,16104657231183792,24
9475854336,RLSSDstarstar,20210112163610_711,270725,16104656577998040,48
9475854336,RLSSDstarstar,20210112163659_484,186389,16104657415558720,48
1049760000,RLSSDstarstar,20210112163820_175,102966,16104658753282030,36
49787136,RLSSDstarstar,20210112163830_971,10876,16104659096047140,24
1049760000,RLSSDstarstar,20210112163902_197,62869,16104659269545400,36
9475854336,RLSSDstarstar,20210112163953_962,146580,16104659602740290,48
9475854336,RLSSDstarstar,20210112164019_326,386135,16104659186852018,48
1618961043456,RLSSDstarstar,20210112192311_328,1858690,16104690559065508,48
1618961043456,RLSSDstarstar,20210112213935_777,1861805,16104797263946732,48
35806100625,RLSSDstarstar,20210113081357_279,483537,16105215273859630,30
8100000000,RLSSDstarstar,20210113081542_848,206343,16105220058981290,25
35806100625,RLSSDstarstar,20210113081837_174,281665,16105220373255200,30
8100000000,RLSSDstarstar,20210113082534_323,286827,16105225594960690,25
35806100625,RLSSDstarstar,20210113083023_819,328455,16105227343249270,30
35806100625,RLSSDstarstar,20210113083617_546,399029,16105230238207460,30
8100000000,RLSSDstarstar,20210113083638_042,155290,16105232954424460,25
8100000000,RLSSDstarstar,20210113083834_931,165023,16105233980436140,25
35806100625,RLSSDstarstar,20210113084303_663,413491,16105233775473730,30
35806100625,RLSSDstarstar,20210113084950_991,430286,16105237836741150,30
1303210000,RLSSDstarstar,20210113085632_971,69248,16105245659148230,20
1303210000,RLSSDstarstar,20210113085656_211,100340,16105245756991660,20
4100625,RLSSDstarstar,20210113091348_249,4133,16105256261983358,10
4100625,RLSSDstarstar,20210113091349_739,5133,16105256292478240,10
121550625,RLSSDstarstar,20210113091353_91,13093,16105256311579918,15
121550625,RLSSDstarstar,20210113091355_46,40987,16105256262039060,15
1303210000,RLSSDstarstar,20210113091505_747,85806,16105256703139902,20
1303210000,RLSSDstarstar,20210113091555_325,115500,16105257057491350,20
1303210000,RLSSDstarstar,20210113091632_893,76903,16105257590828620,20
4100625,RLSSDstarstar,20210113091643_374,5427,16105258027949400,10
1303210000,RLSSDstarstar,20210113091648_018,88804,16105257700862240,20
4100625,RLSSDstarstar,20210113091648_552,5449,16105258080187250,10
4100625,RLSSDstarstar,20210113091650_922,3201,16105258106374280,10
4100625,RLSSDstarstar,20210113091702_25,6082,16105258216165900,10
121550625,RLSSDstarstar,20210113091702_627,37142,16105258140089670,15
121550625,RLSSDstarstar,20210113091709_512,19574,16105258252557430,15
