R,algorithm,date,iteration,seed,size,λ
10,ea1pλSASD,20201204144335_755,528,16070894157233820,100,10
10,ea1pλSASD,20201204144335_756,346,16070894157276790,100,10
10,ea1pλSASD,20201204144335_757,364,16070894157298750,100,10
10,ea1pλSASD,20201204144335_762,388,16070894157315250,100,10
10,ea1pλSASD,20201204144335_773,211,16070894157569700,100,10
10,ea1pλSASD,20201204144335_776,265,16070894157564500,100,10
10,ea1pλSASD,20201204144335_779,299,16070894157576190,100,10
10,ea1pλSASD,20201204144335_781,231,16070894157627320,100,10
10,ea1pλSASD,20201204144335_795,221,16070894157765670,100,10
10,ea1pλSASD,20201204144335_795,196,16070894157741440,100,10
10,ea1pλSASD,20201204144335_799,220,16070894157822010,100,10
10,ea1pλSASD,20201204144335_81,110,16070894157959800,100,10
10,ea1pλSASD,20201204144335_81,286,16070894157802000,100,10
10,ea1pλSASD,20201204144335_813,143,16070894158004250,100,10
10,ea1pλSASD,20201204144335_822,112,16070894158109750,100,10
10,ea1pλSASD,20201204144335_83,165,16070894158141850,100,10
10,ea1pλSASD,20201204144335_831,413,16070894157958310,100,10
10,ea1pλSASD,20201204144335_832,259,16070894158110918,100,10
10,ea1pλSASD,20201204144335_834,147,16070894158228820,100,10
10,ea1pλSASD,20201204144335_848,190,16070894158332000,100,10
10,ea1pλSASD,20201204144335_849,222,16070894158319672,100,10
10,ea1pλSASD,20201204144335_862,384,16070894158306200,100,10
10,ea1pλSASD,20201204144335_862,292,16070894158354900,100,10
10,ea1pλSASD,20201204144335_867,224,16070894158493550,100,10
10,ea1pλSASD,20201204144335_872,283,16070894158496100,100,10
10,ea1pλSASD,20201204144335_879,140,16070894158683680,100,10
10,ea1pλSASD,20201204144335_879,205,16070894158630660,100,10
10,ea1pλSASD,20201204144335_886,282,16070894158628440,100,10
10,ea1pλSASD,20201204144335_902,240,16070894158799520,100,10
10,ea1pλSASD,20201204144335_913,281,16070894158870530,100,10
10,ea1pλSASD,20201204144335_914,354,16070894158800080,100,10
10,ea1pλSASD,20201204144335_918,440,16070894158735780,100,10
10,ea1pλSASD,20201204144335_923,197,16070894159037750,100,10
10,ea1pλSASD,20201204144335_931,179,16070894159154078,100,10
10,ea1pλSASD,20201204144335_937,147,16070894159239600,100,10
10,ea1pλSASD,20201204144335_942,240,16070894159138550,100,10
10,ea1pλSASD,20201204144335_942,217,16070894159194420,100,10
10,ea1pλSASD,20201204144335_955,258,16070894159322690,100,10
10,ea1pλSASD,20201204144335_956,109,16070894159432140,100,10
10,ea1pλSASD,20201204144335_96,217,16070894159378942,100,10
10,ea1pλSASD,20201204144335_99,277,16070894159574180,100,10
10,ea1pλSASD,20201204144335_992,344,16070894159558238,100,10
10,ea1pλSASD,20201204144335_994,416,16070894159428920,100,10
10,ea1pλSASD,20201204144335_999,261,16070894159604672,100,10
10,ea1pλSASD,20201204144336_009,119,16070894159922660,100,10
10,ea1pλSASD,20201204144336_014,179,16070894159935520,100,10
10,ea1pλSASD,20201204144336_018,202,16070894159952220,100,10
10,ea1pλSASD,20201204144336_076,180,16070894160097280,100,10
10,ea1pλSASD,20201204144336_077,126,16070894160149550,100,10
10,ea1pλSASD,20201204144336_081,141,16070894160194672,100,10
10,ea1pλSASD,20201204144336_085,386,16070894160001882,100,10
